,estimated_frequency
Strep_C10656,0.23370178103816636
Strep_C10657,0.47311830745470035
Strep_C10658,0.47311830745470035
Strep_C10659,0.99999999
Strep_C1065,0.333266628208235
Strep_C10660,0.47311830745470035
Strep_C10661,0.8524313909199117
Strep_C10662,0.99999999
Strep_C10663,0.99999999
Strep_C10664,0.11634201451864289
Strep_C10665,0.11634201451864289
Strep_C10666,0.11634201451864289
Strep_C10667,0.11634201451864289
Strep_C10668,0.99999999
Strep_C10669,0.11634201451864289
Strep_C1066,0.99999999
Strep_C10670,0.11634201451864289
Strep_C10671,0.11634201451864289
Strep_C10672,0.11136757272179186
Strep_C10673,0.3342595322757504
Strep_C10674,0.11136757272179186
Strep_C10675,0.99999999
Strep_C10676,0.11136757272179186
Strep_C10677,0.99999999
Strep_C10678,0.11136757272179186
Strep_C10679,0.11136757272179186
Strep_C1067,0.2337017810381666
Strep_C10680,0.11136757272179186
Strep_C10681,0.23305302815717163
Strep_C10682,0.351325490499599
Strep_C10683,0.23305302815717163
Strep_C10684,0.23305302815717163
Strep_C10685,0.351325490499599
Strep_C10686,0.7778659244097796
Strep_C10687,0.23305302815717163
Strep_C10688,0.11634201451864289
Strep_C10689,0.35245843672205746
Strep_C1068,0.47311651524910325
Strep_C10690,0.11634201451864289
Strep_C10691,0.11634201451864289
Strep_C10692,0.7778659244097796
Strep_C10693,0.11634201451864289
Strep_C10694,0.7198634438443039
Strep_C10695,0.11634201451864289
Strep_C10696,0.23370178103816636
Strep_C10697,0.11634201451864289
Strep_C10698,0.2337017810381666
Strep_C10699,0.35245843672205746
Strep_C1069,0.99999999
Strep_C106,0.11634201451864289
Strep_C10700,0.2337017810381666
Strep_C10701,0.1163415109155265
Strep_C10702,0.23370228693111114
Strep_C10703,0.1163415109155265
Strep_C10704,0.1163415109155265
Strep_C10705,0.1163415109155265
Strep_C10706,0.1163415109155265
Strep_C10707,0.1163415109155265
Strep_C10708,0.47311830745470035
Strep_C10709,0.11634201451864289
Strep_C1070,0.47311830745470035
Strep_C10710,0.351325490499599
Strep_C10711,0.7256406595528874
Strep_C10712,0.2337017810381666
Strep_C10713,0.11634201451864289
Strep_C10714,0.11634201451864289
Strep_C10715,0.11634201451864289
Strep_C10716,0.99999999
Strep_C10717,0.11634201451864289
Strep_C10718,0.11634201451864289
Strep_C10719,0.11634201451864289
Strep_C1071,0.471274539360154
Strep_C10720,0.23370228693111114
Strep_C10721,0.11634201451864289
Strep_C10722,0.11136757272179186
Strep_C10723,0.22283322077504625
